id,predicted
1,40
2,92
3,65
4,3
5,76
6,76
7,49
8,123
9,33
11,109
12,39
13,39
14,92
15,40
16,76
17,23
18,109
19,124
20,1
21,123
22,109
23,109
24,96
25,124
26,92
27,3
28,6
29,34
30,65
31,3
32,22
33,3
34,59
35,109
36,8
37,63
38,65
39,96
40,51
41,63
43,3
44,99
45,3
46,124
47,93
48,92
49,3
50,3
51,92
52,93
53,64
54,84
55,3
56,40
57,59
59,96
61,76
62,59
63,92
64,123
65,63
66,109
67,68
68,92
69,6
70,13
71,92
72,58
73,58
74,109
75,3
76,1
77,124
78,39
79,123
81,89
82,3
83,112
84,92
85,109
86,3
87,92
88,58
89,3
90,107
91,49
92,63
93,96
94,124
96,92
97,109
98,3
99,58
100,109
101,59
102,92
103,8
104,33
105,92
106,109
107,123
108,123
109,65
110,124
111,106
112,109
113,3
114,6
115,39
116,64
117,65
118,109
119,109
120,3
121,76
122,123
123,8
124,96
125,58
126,6
127,96
128,58
130,89
131,125
132,109
133,109
134,58
135,109
136,63
137,96
138,96
139,83
140,64
141,60
142,33
143,23
144,11
145,3
146,13
147,64
148,40
149,109
150,106
151,8
153,92
154,65
155,106
157,3
158,40
159,38
160,39
161,58
162,3
163,92
164,65
165,92
167,58
168,92
169,71
170,92
171,99
172,65
173,34
174,40
175,92
176,92
178,107
179,65
180,124
181,36
182,6
183,65
184,8
185,3
186,91
187,109
188,123
189,40
190,123
191,124
193,8
194,64
195,92
196,96
197,125
198,29
199,6
201,92
202,114
203,3
204,65
205,92
206,92
207,39
208,64
209,96
210,65
211,109
212,3
213,109
214,109
216,8
217,3
218,109
219,107
220,40
221,109
222,96
223,107
224,109
225,3
226,92
227,119
228,3
229,92
230,96
231,63
232,99
233,40
234,123
235,92
237,6
238,40
239,123
240,58
241,40
242,125
243,64
245,92
246,89
247,40
248,109
249,84
250,109
251,58
252,109
253,3
254,58
256,109
257,109
258,3
259,13
260,40
261,7
262,3
263,89
264,8
265,6
266,96
267,109
268,29
269,89
270,123
271,11
272,92
273,77
274,76
275,83
276,71
277,6
278,96
279,123
280,36
281,123
282,109
283,61
284,106
285,123
286,49
287,109
288,11
289,22
290,114
291,3
292,106
293,1
294,11
295,109
296,83
297,14
298,13
299,92
300,72
301,64
302,122
303,8
305,93
306,109
307,109
308,3
309,123
310,92
311,109
312,84
314,123
315,109
316,3
317,92
318,40
319,124
321,65
323,109
324,65
325,123
326,39
327,11
328,66
329,34
330,124
331,124
332,1
333,3
334,109
335,109
336,33
337,11
338,92
339,92
340,109
341,1
342,96
343,112
344,107
345,123
346,109
347,76
348,3
349,33
350,71
351,109
352,11
353,18
