id,predicted
1,40
2,92
3,65
4,65
5,76
6,76
7,65
8,123
9,123
11,109
12,76
13,39
14,112
15,107
16,1
17,76
18,109
19,3
20,3
21,3
22,76
23,39
24,3
25,3
26,124
27,3
28,1
29,1
30,65
31,65
32,22
33,65
34,22
35,52
36,1
37,123
38,65
39,96
40,1
41,65
43,3
44,3
45,3
46,124
47,3
48,34
49,3
50,3
51,84
52,123
53,112
54,53
55,3
56,34
57,59
59,96
61,76
62,65
63,85
64,3
65,123
66,39
67,85
68,72
69,65
70,95
71,66
72,1
73,1
74,92
75,3
76,1
77,123
78,13
79,123
81,3
82,3
83,4
84,92
85,109
86,3
87,123
88,53
89,3
90,107
91,85
92,99
93,65
94,3
96,85
97,39
98,65
99,34
100,109
101,34
102,92
103,39
104,66
105,92
106,22
107,1
108,1
109,65
110,65
111,96
112,96
113,65
114,76
115,39
116,3
117,65
118,109
119,92
120,3
121,76
122,123
123,65
124,76
125,1
126,65
127,1
128,39
130,99
131,99
132,22
133,123
134,3
135,96
136,77
137,96
138,76
139,114
140,3
141,76
142,66
143,63
144,122
145,3
146,109
147,65
148,40
149,39
150,85
151,96
153,84
154,65
155,97
157,3
158,40
159,85
160,39
161,3
162,3
163,65
164,65
165,92
167,58
168,34
169,45
170,92
171,3
172,1
173,92
174,40
175,92
176,123
178,3
179,65
180,123
181,3
182,65
183,3
184,4
185,3
186,8
187,13
188,96
189,53
190,65
191,124
193,39
194,39
195,53
196,39
197,65
198,76
199,6
201,92
202,65
203,65
204,65
205,92
206,49
207,39
208,3
209,96
210,65
211,109
212,65
213,109
214,92
216,8
217,65
218,109
219,97
220,92
221,109
222,39
223,22
224,85
225,3
226,52
227,65
228,3
229,92
230,109
231,3
232,99
233,40
234,122
235,84
237,76
238,40
239,66
240,1
241,40
242,75
243,85
245,92
246,3
247,40
248,39
249,85
250,109
251,1
252,123
253,3
254,6
256,39
257,109
258,3
259,13
260,40
261,38
262,3
263,3
264,22
265,76
266,96
267,109
268,29
269,53
270,123
271,11
272,92
273,65
274,76
275,39
276,84
277,76
278,65
279,96
280,3
281,65
282,13
283,61
284,123
285,123
286,85
287,39
288,114
289,22
290,3
291,3
292,83
293,53
294,84
295,22
296,76
297,109
298,76
299,92
300,41
301,3
302,85
303,39
305,3
306,39
307,109
308,3
309,3
310,81
311,40
312,84
314,65
315,39
316,3
317,72
318,40
319,3
321,65
323,22
324,65
325,3
326,39
327,4
328,66
329,76
330,124
331,3
332,65
333,3
334,109
335,39
336,40
337,3
338,123
339,92
340,39
341,76
342,39
343,6
344,68
345,123
346,39
347,76
348,65
349,123
350,85
351,22
352,3
353,22
